,Company,Website,Source,Description,Location,SDG Goal,five Ps,Rainmaking SDG Subtopic,Impact Statement,Location of Impact,Additional SDGs,Primary SDG,Source link,Multy label
45,Voltea,http://www.voltea.com/,Dealroom,Provides technology solutions to remove ions from liquids for industrial and domestic purposes,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/voltea,0
46,Orbital Systems,http://orbital-systems.com,Dealroom,"Cutting-edge technology company located in Sweden, having developed a disruptive water recycling technology",,11,Prosperity,,,,,,https://app.dealroom.co/companies/orbital_system,0
47,EnOcean,http://www.enocean.com,Dealroom,Manufactures and markets wireless sensor solutions for use in buildings and industrial installations,,7,Prosperity,,,,,,https://app.dealroom.co/companies/enocean,0
48,Nilar International,http://www.nilar.com/,Dealroom,Nilar International develops and manufactures powerful and advanced NiMH battery energy storage solutions,,7,Prosperity,,,,,,https://app.dealroom.co/companies/nilar_international,0
49,The Faraday Grid,https://www.faradaygrid.com/,Dealroom,Power technology developer,,7,Prosperity,,,,,,https://app.dealroom.co/companies/the_faraday_grid,0
50,Mcor Technologies,http://www.mcortechnologies.com,Dealroom,"Affordable, full colour, eco-friendly 3D printers",,11,Prosperity,,,,,,https://app.dealroom.co/companies/mcor_technologies,0
51,3fbio,https://www.3fbio.com/,Dealroom,Is a biotechnology company making protein sustainable by “making more with less.”,,2,People,,,,,,https://app.dealroom.co/companies/3fbio,0
52,Electro Power Systems,http://www.electropowersystems.com/,Dealroom,"Clean, Smart, Decentralised Energy Storage with hydrogen batteries",,7,Prosperity,,,,,,https://app.dealroom.co/companies/electro_power_systems,0
53,Whim (Maas Global),http://whimapp.com,Dealroom,A hassle-free and environmentally sound alternative to private car ownership,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/maas_global,0
54,FAZUA,http://fazua.com,Dealroom,"Develops evation, the lightest and most compact drive system for e-bikes",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/fazua,0
55,AW-Energy,http://aw-energy.com,Dealroom,Wave energy technology developer,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/aw_energy,0
56,Econic Technologies,http://www.econic-technologies.com,Dealroom,Develops new catalysts and processes for the manufacture of polymers from CO2,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/econic_technologies,0
57,Aquamarine Power,http://www.aquamarinepower.com,Dealroom,"Wave energy company, developing the innovative Oyster wave energy technology",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/aquamarine_power,0
58,Eelpower,http://eelpower.co.uk,Dealroom,"Builds, owns and operates large-scale commercial energy storage infrastructure",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/eelpower,0
59,McPhy Energy,http://www.mcphy.com,Dealroom,"Electricity resources based on a unique technology for hydrogen storage in solid form, in association with technology for hydrogen production by water electrolysis",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/mcphy,0
60,Azuri Technologies,http://azuri-technologies.com,Dealroom,"Azuri brings power to off-grid customers in rural emerging markets, combining solar and mobile technology to provide pay as you go access to power at scale.",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/azuri_technologies,0
61,Oxitec,http://oxitec.com,Dealroom,Oxitec develops an environment-friendly technology for the control of significant insect pests to prevent diseases and agricultural damage,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/oxitec,0
62,EasyMile,http://easymile.com/,Dealroom,Driverless electric shuttles that offer shared transport for up to 12 people for short distances,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/easymile,0
63,Ubitricity,http://ubitricity.com,Dealroom,Ubiquitous EV charging infrastructure. Smart. Efficient. Affordable.,,11,Prosperity,,,,,Side,https://app.dealroom.co/companies/ubitricity_gesellschaft_f_r_verteilte_energiesysteme_mbh,0
64,AFYREN,http://afyren.com/,Dealroom,A company specialized in microbiology and bioprocess engineering for the valorization of non-food biomass in bioenergy and green chemistry,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/afyren,0
65,Gazohim Techno,http://gazohim.ru/index.php/en/,Dealroom,Home - Gazohim techno,,11,Prosperity,,,,,Side,https://app.dealroom.co/companies/gazohim_techno,0
66,Simris Alg,http://simrisalg.se/,Dealroom,"Produces algae, a unique natural food product",,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/simris_alg,0
67,Visedo,http://visedo.com,Dealroom,"Electric drive train components for heavy mobile work machine, marine vessel and bus applications",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/visedo,0
68,Thinkstep,http://www.thinkstep.com,Dealroom,Leader in Sustainability Performance Management,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/thinkstep,0
69,Etergo,https://etergo.com/,Dealroom,Develops electric scooters,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/etergo,0
70,Solynta,http://www.solynta.com,Dealroom,Solynta contributes to feeding the world's growing and often malnutritioned population.,,2,People,,,,,Core,https://app.dealroom.co/companies/solynta,0
71,Solar Impulse,http://solarimpulse.com,Dealroom,Solar Impulse Clean Technologies to Fly Around the World,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/solar_impulse,0
72,Icq Holding,http://www.icqholdingspa.com/,Dealroom,ICQ Holding S.p.A. - Electricity production from renewable sources - Energy Trading,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/icq_holding,0
73,Geotech Soil Stabilisation,http://geotechsoilstabilisation.com,Dealroom,Geotech Soil Stabilisation is at the leading edge of innovation within the soil stabilisation industry,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/geotech_soil_stabilisation,0
74,Easybike,http://easybike.fi,Dealroom,Easybike designs and manufactures a range of bikes that run on electricity,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/easybike,0
75,CorPower Ocean,http://corpowerocean.com,Dealroom,Redefining wave power,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/corpower_ocean,0
76,Black Bear Carbon,http://blackbearcarbon.com,Dealroom,Harvesting and upcycling carbon black from end-of-life tires,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/black_bear_carbon_b_v,0
77,NexWafe,http://www.nexwafe.com,Dealroom,Supplies high quality wafers to solar cell producers,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/nexwafe,0
78,Click & Grow,http://www.clickandgrow.com,Dealroom,Electronic pot that grows your plants automatically,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/click_grow,0
79,Cloud & Heat,https://www.cloudandheat.com,Dealroom,"Cloud-based computing, the waste heat of which is used to heat buildings and to heat water",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/cloud_heat,0
80,SeaBubbles,http://www.seabubbles.fr/,Dealroom,An eco-friendly flying water car ecosystem,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/seabubbles,0
81,Celtic Renewables,http://www.celtic-renewables.com/,Dealroom,Produces sustainable bio fuel that replaces fossil fuels,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/celtic_renewables,0
82,BioGasol,http://biogasol.com,Dealroom,Develops technology for producing renewable biofuels,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/biogasol,0
83,Voltalia,http://www.voltalia.com/,Dealroom,"Uses hydroelectric, wind, and biomass to generate electricity in France, Guyana, and Brazil",,7,Prosperity,,,,,,https://app.dealroom.co/companies/voltalia,0
84,PHENIX,http://wearephenix.com,Dealroom,Web and service platform specialized in the reduction of waste,,13,Planet,,,,,,https://app.dealroom.co/companies/phenix,0
85,Ecovative Design,http://ecovativedesign.com,Dealroom,Biomaterials company growing replacements for plastic foams and engineered woods using mushroom technology,,11,Prosperity,,,,,,https://app.dealroom.co/companies/ecovative_design,0
86,ZenRobotics,http://www.zenrobotics.com,Dealroom,Robotic recycling systems,,11,Prosperity,,,,,,https://app.dealroom.co/companies/zenrobotics,0
87,POD Point,http://pod-point.com,Dealroom,POD Point Ltd provides electronic vehicle charging stations. The Company offers charging stations for the public sector or private companies who wish to own their own charge points,,7,Prosperity,,,,,,https://app.dealroom.co/companies/pod_point_ltd,0
88,i2O Water,http://www.i2owater.com/,Dealroom,i2O Water is the world's leading developer of smart pressure management solutions for water distribution networks.,,7,Prosperity,,,,,,https://app.dealroom.co/companies/i2o_water,0
89,RECUPYL,http://recupyl.com,Dealroom,"Recupyl, innovative battery recycling",,7,Prosperity,,,,,,https://app.dealroom.co/companies/recupyl,0
90,Sfera Waterfood,http://www.waterfood.it,Dealroom,Technological greenhousesto produce vegetables,,7,Prosperity,,,,,,https://app.dealroom.co/companies/sfera_waterfood,0
91,Ioniqa,http://www.ioniqa.com,Dealroom,Develops and produces smart chemical materials,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/ioniqa,0
92,Le Floch Depollution,http://leflochdepollution.com,Dealroom,Le Floch Cleanup,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/le_floch_depollution,0
93,Zolar,https://www.zolar.de/,Dealroom,Makes buying solar power systems for homes easier and more transparent,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/zolar,0
94,NewMotion,https://newmotion.com/,Dealroom,Charging solutions for electric vehicles,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/the_new_motion,0
95,I-Ten,http://i-ten.fr/#home,Dealroom,Simplifies the problem of micro-energy storage in the heart of autonomous circuits,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/i_ten,0
96,Silence,https://www.silence.eco/,Dealroom,"Design, development and manufacture of electric scooters",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/silence,0
97,Sabella,http://www.sabella.fr,Dealroom,High-powered tidal turbine,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/sabella,0
98,Cake,https://ridecake.com,Dealroom,"CAKE high performance, electric, off road motorbikes",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/cake_1,0
99,Cowboy,https://cowboy.bike/,Dealroom,A new electric bike for urban riders,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/cowboy,0
100,Arvia Technology,http://arviatechnology.com,Dealroom,"Cost effective removal of trace problematic, toxic or hazardous organics at trace level in water",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/arvia_technology,0
101,Home power solutions,https://www.homepowersolutions.de,Dealroom,HPS develops and produces integrated systems for storing and using solar energy for single and multi-family homes,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/home_power_solutions,0
102,Hyperdrive Innovation,http://hyperdriveinnovation.com,Dealroom,"Solutions for electric and hybrid vehicles, household and commercial battery energy storage systems",,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/hyperdrive_innovation,0
103,Tevva Motors,http://tevva.com,Dealroom,Company that specializes in producing electric range extended vehicles,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/tevva_motors,0
104,Solarcentury,http://www.solarcentury.co.uk,Dealroom,One of the world’s most respected solar companies in the world,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/solarcentury,0
105,Kite Power Systems (KPS),http://www.kitepowersystems.com/,Dealroom,Developer of innovative new kite power technology,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/kite_power_systems_kps_,0
106,Micropelt,http://www.micropelt.com,Dealroom,Develops thin film thermoelectric components based on semiconductor manufacturing processes,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/micropelt,0
107,eZelleron,http://www.ezelleron.de,Dealroom,"Focuses on the development of portable power supply, including accumulator systems and batteries",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/ezelleron,0
108,Climeon AB,https://climeon.com/,Dealroom,"Climeon's vision is to become the #1 climate solver. We turn heat into clean electricity24/7, unaffected by weather conditions",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/climeon_ab,0
109,NaWATechnologies,http://nawatechnologies.com,Dealroom,"Innovative, economically competitive, reliable and environmentally friendly Ultra-Fast Carbon battery and applied nanotechnology",,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/nawatechnologies,0
110,GreenBone,http://www.greenbone.it/,Dealroom,Develops implant technology for bone diseases,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/greenbone,0
111,OCTIMET Oncology,http://www.octimet.com/,Dealroom,"OCTIMET has licensed from Janssen Pharmaceutica, highly selective MET kinase inhibitors with clean safety profiles",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/octimet_oncology,0
112,Navetas Energy Management,http://navetas.com,Dealroom,"Services in energy measurement, procurement, and conservation for industrial and residential sectors",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/navetas_energy_management,0
113,Greenflux,http://www.greenflux.nl/,Dealroom,Delivering charging services via a global charging platform and award winning smart controller,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/greenflux,0
114,Azelio,https://azelio.com/,Dealroom,Turning dirty methane into energy at old landfills.Deploying CSP instead of PV across the world.Using stirling engines to produce renewable energy,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/azelio,0
115,Inge Watertechnologies,http://inge.ag,Dealroom,Request Rejected,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/inge_watertechnologies,0
116,Clean Mobile,http://clean-mobile.com,Dealroom,"Electric drives for e-bikes ""clean mobile",,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/clean_mobile,0
117,Winnow,http://www.winnowsolutions.com,Dealroom,Fighting foodwaste with technology in the hospitality sector,,7,Prosperity,,,,,,https://app.dealroom.co/companies/winnow,0
118,Torqeedo,http://www.torqeedo.com,Dealroom,"Torqeedo, the leader in electric propulsion: sustainable, powerful, convenient. Join us in clean boating!",,7,Prosperity,,,,,,https://app.dealroom.co/companies/torqeedo,0
119,MCE-5 Development,http://vcr-i.com,Dealroom,MCE-5 VCRi: Pushing the limits of the reduction of fuel consumption,,7,Prosperity,,,,,,https://app.dealroom.co/companies/mce_5_development,0
120,Verv,https://verv.energy/,Dealroom,Home energy assistant,,7,Prosperity,,,,,,https://app.dealroom.co/companies/verv,0
121,Moixa Technology,http://www.moixatechnology.com/,Dealroom,"Developer of distributed energy storage, aggregation and smart DC technologies",,7,Prosperity,,,,,,https://app.dealroom.co/companies/moixa_technology,0
122,Q-Cells,https://www.q-cells.nl,Dealroom,Solar cell manufacturer,,11,Prosperity,,,,,,https://app.dealroom.co/companies/q_cells,0
123,Eco Baltia,http://www.ekobaltija.lv/,Dealroom,Waste collection and recycling management services,,7,Prosperity,,,,,,https://app.dealroom.co/companies/eco_baltia,0
124,Eniram,http://eniram.fi,Dealroom,Energy management technology to reduce fuel consumption and emissions for the maritime industry,,11,Prosperity,,,,,,https://app.dealroom.co/companies/eniram,0
125,Elichens,http://www.elichens.com/,Dealroom,Offers disruptive sensors and services to measure the air quality,,7,Prosperity,,,,,,https://app.dealroom.co/companies/elichens,0
126,GOVECS,http://www.govecs.com,Dealroom,"Completely dedicated to the development, production, and marketing of electric vehicles.",,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/govecs,0
127,Mitte,http://mitte.co/,Dealroom,The world's first smart water system that unites water purification with enhancement,,13,Planet,,,,,Core,https://app.dealroom.co/companies/mitte_,0
128,Connected Energy,https://www.c-e-int.com,Dealroom,Energy storage technology company,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/connected_energy,0
129,Sono Motors,https://www.sonomotors.com/,Dealroom,Electric car startup,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/sono_motors,0
130,Photanol,http://photanol.com/,Dealroom,Converting sun energy and carbon dioxide to produce organic compounds,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/photanol,0
131,BIO-LUTIONS,http://www.bio-lutions.com/,Dealroom,Renaturing the world of materials - BIO-LUTIONS,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/bio_lutions,0
132,Aphea.Bio,http://aphea.bio/,Dealroom,Developer of sustainable agricultural products,,2,People,,,,,Core,https://app.dealroom.co/companies/aphea_bio,0
133,saperatec,http://saperatec.de,Dealroom,Offers technology for the separation of bonded and coated structures,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/saperatec,0
134,Flisom,http://www.flisom.ch/,Dealroom,"Is a developer and manufacturer of photovoltaic (PV) thin film solar cells, located near Zurich, Switzerland",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/flisom,0
135,CiteeCar,http://www.citeecar.com,Dealroom,Low cost car sharing platform for Germany,,13,Planet,,,,,Side,https://app.dealroom.co/companies/citeecar,0
136,carpooling.com,http://www.carpooling.com/,Dealroom,The largest ride sharing network in Europe,,13,Planet,,,,,Side,https://app.dealroom.co/companies/carpooling_com,0
137,Silicon Mobility,https://www.silicon-mobility.com/,Dealroom,"A full stack technology player powering control solutions for a cleaner, safer and smarter mobility",,13,Planet,,,,,Core,https://app.dealroom.co/companies/silicon_mobility,0
138,J&B Recycling,https://www.jbrecycling.co.uk/,Dealroom,Waste recycling company operating from two recycling facilities in Hartlepool and a waste transfer station in Middlesbrough,,13,Planet,,,,,Core,https://app.dealroom.co/companies/jb_recycling,0
139,Upside Energy,http://www.upsideenergy.co.uk,Dealroom,Pays people to NOT use energy,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/upside_energy,0
140,Sunamp,http://sunamp.co.uk,Dealroom,The renewable energy and heat storage business,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/sunamp,0
141,Voltia,https://voltia.com/,Dealroom,"We facilitate the deployment of electric vehicles into delivery and logistic fleets in a smooth, cost effective, and risk free manner",,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/voltia,0
142,Norsepower oy ltd,http://www.norsepower.com/,Dealroom,Provider of push button auxiliary wind propulsion,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/norsepower_oy_ltd,0
143,Orege,https://www.orege.com/en/,Dealroom,"Specialized in waste water treatment and regeneration. The Company develops and implements innovative expertise, providing customized treatment solutions for industrial effluents and process water",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/orege,0
144,Mosa Meat,https://www.mosameat.com/,Dealroom,The world’s first tissue cultured hamburger,,11,Prosperity,,,,,Core,https://app.dealroom.co/companies/mosameat,0
145,BuffaloGrid,http://buffalogrid.org,Dealroom,Our solar-powered technology makes phone charging and internet services available to all,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/buffalogrid,0
146,PowerOasis,http://www.power-oasis.com,Dealroom,"Supplier of telecom power solutions for off-grid, unreliable grid sites, providing grid autonomy and taking advantage of renewable energy",,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/poweroasis,0
147,Connecterra,http://www.connecterra.io,Dealroom,Builds an Artificial Intelligence that will grow food sustainably to feed future generations,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/connecterra,0
148,Aquaporin,http://aquaporin.dk,Dealroom,Products to purify water and desalinate seawater,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/aquaporin,0
149,Silk Biomaterials,http://www.silkbiomaterials.com,Dealroom,Medical implantable devices made of silk,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/silk_biomaterials,0
150,Exeger Sweden,http://exeger.com,Dealroom,New materials that enhance the efficiency of solar cells,,7,Prosperity,,,,,Side,https://app.dealroom.co/companies/exeger_sweden_ab,0
151,The Carbon Trust,http://carbontrust.com,Dealroom,"Sustainable future through carbon reduction, resource efficiency strategies and commercialising low carbon technologies",,13,Planet,,,,,Core,https://app.dealroom.co/companies/the_carbon_trust,0
152,Lightyear,https://www.lightyear.one/,Dealroom,The electric car that charges itself,,7,Prosperity,,,,,Core,https://app.dealroom.co/companies/lightyear,0
